Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total (IDEA),SWD (Section 504 only),Total,LEP
WI,Racine Unified School District,WI,Gilmore Middle,551236001616,2015,SWOD: School-related arrest,M,0.00,0.00,0.00,2.00,2.00,0.00,0.00,,,4.00,2.00
WI,Racine Unified School District,WI,Gilmore Middle,551236001616,2015,SWOD: School-related arrest,F,0.00,0.00,0.00,2.00,2.00,0.00,0.00,,,4.00,0.00
WI,Racine Unified School District,WI,Gilmore Middle,551236001616,2015,Total enrollment,M,0.00,2.00,0.00,113.00,113.00,116.00,8.00,,,352.00,62.00
WI,Racine Unified School District,WI,Gilmore Middle,551236001616,2015,Total enrollment,F,0.00,2.00,0.00,107.00,113.00,101.00,8.00,,,331.00,53.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Corporal punishment,M,0,0,0,0,0,0,0,0,0,0,0
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Corporal punishment,F,0,0,0,0,0,0,0,0,0,0,0
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Students receiving one or more in-school suspensions,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Students receiving one or more in-school suspensions,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Students receiving only one out-of-school suspension,M,0.00,0.00,0.00,5.00,11.00,2.00,2.00,20.00,0.00,20.00,2.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Students receiving only one out-of-school suspension,F,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Students receiving more than one out-of-school suspension,M,0.00,0.00,0.00,5.00,14.00,2.00,2.00,23.00,0.00,23.00,2.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Students receiving more than one out-of-school suspension,F,0.00,0.00,0.00,2.00,5.00,2.00,2.00,11.00,0.00,11.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Expulsions with educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Expulsions with educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Expulsions without educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Expulsions without educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Expulsions under zero-tolerance policies,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Expulsions under zero-tolerance policies,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Transferred to Alternative School,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Transferred to Alternative School,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Referral to law enforcement,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: Referral to law enforcement,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: School-related arrest,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWD: School-related arrest,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Corporal punishment,M,0,0,0,0,0,0,0,,,0,0
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Corporal punishment,F,0,0,0,0,0,0,0,,,0,0
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Students receiving one or more in-school suspensions,M,0.00,0.00,0.00,2.00,11.00,0.00,0.00,,,13.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Students receiving one or more in-school suspensions,F,0.00,0.00,0.00,2.00,11.00,2.00,0.00,,,15.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Students receiving only one out-of-school suspension,M,0.00,0.00,0.00,2.00,17.00,5.00,0.00,,,24.00,2.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Students receiving only one out-of-school suspension,F,0.00,0.00,0.00,2.00,8.00,5.00,2.00,,,17.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Students receiving more than one out-of-school suspension,M,0.00,0.00,0.00,0.00,14.00,2.00,0.00,,,16.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Students receiving more than one out-of-school suspension,F,0.00,0.00,0.00,0.00,8.00,2.00,0.00,,,10.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Expulsions with educational services,M,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,,2.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Expulsions with educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Expulsions without educational services,M,0.00,0.00,0.00,2.00,2.00,2.00,0.00,,,6.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Expulsions without educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Expulsions under zero-tolerance policies,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Expulsions under zero-tolerance policies,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Transferred to Alternative School,M,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,,2.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Transferred to Alternative School,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Referral to law enforcement,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: Referral to law enforcement,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: School-related arrest,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,SWOD: School-related arrest,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,Total enrollment,M,2.00,2.00,0.00,101.00,116.00,131.00,8.00,,,360.00,50.00
WI,Racine Unified School District,WI,Starbuck Middle,551236001639,2015,Total enrollment,F,0.00,8.00,0.00,113.00,110.00,107.00,11.00,,,349.00,47.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Corporal punishment,M,0,0,0,0,0,0,0,0,0,0,0
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Corporal punishment,F,0,0,0,0,0,0,0,0,0,0,0
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Students receiving one or more in-school suspensions,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Students receiving one or more in-school suspensions,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Students receiving only one out-of-school suspension,M,0.00,0.00,0.00,2.00,2.00,2.00,0.00,6.00,0.00,6.00,2.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Students receiving only one out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Students receiving more than one out-of-school suspension,M,0.00,0.00,0.00,2.00,2.00,2.00,0.00,6.00,0.00,6.00,2.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Students receiving more than one out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,2.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Expulsions with educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Expulsions with educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Expulsions without educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Expulsions without educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Expulsions under zero-tolerance policies,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Expulsions under zero-tolerance policies,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Transferred to Alternative School,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Transferred to Alternative School,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Referral to law enforcement,M,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: Referral to law enforcement,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: School-related arrest,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWD: School-related arrest,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Corporal punishment,M,0,0,0,0,0,0,0,,,0,0
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Corporal punishment,F,0,0,0,0,0,0,0,,,0,0
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Students receiving one or more in-school suspensions,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Students receiving one or more in-school suspensions,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Students receiving only one out-of-school suspension,M,0.00,0.00,0.00,2.00,2.00,2.00,0.00,,,6.00,2.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Students receiving only one out-of-school suspension,F,0.00,0.00,0.00,2.00,2.00,2.00,0.00,,,6.00,2.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Students receiving more than one out-of-school suspension,M,0.00,0.00,0.00,2.00,14.00,2.00,2.00,,,20.00,2.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Students receiving more than one out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,,2.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Expulsions with educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Expulsions with educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Expulsions without educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Expulsions without educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Expulsions under zero-tolerance policies,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Expulsions under zero-tolerance policies,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Transferred to Alternative School,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Transferred to Alternative School,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Referral to law enforcement,M,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,,2.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: Referral to law enforcement,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: School-related arrest,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,SWOD: School-related arrest,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,Total enrollment,M,2.00,0.00,0.00,86.00,38.00,20.00,11.00,,,157.00,62.00
WI,Racine Unified School District,WI,Janes Elementary,551236001622,2015,Total enrollment,F,2.00,0.00,0.00,77.00,35.00,26.00,5.00,,,145.00,56.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Corporal punishment,M,0,0,0,0,0,0,0,0,0,0,0
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Corporal punishment,F,0,0,0,0,0,0,0,0,0,0,0
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Students receiving one or more in-school suspensions,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Students receiving one or more in-school suspensions,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Students receiving only one out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Students receiving only one out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Students receiving more than one out-of-school suspension,M,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,2.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Students receiving more than one out-of-school suspension,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Expulsions with educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Expulsions with educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Expulsions without educational services,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Expulsions without educational services,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Expulsions under zero-tolerance policies,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Expulsions under zero-tolerance policies,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Transferred to Alternative School,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Transferred to Alternative School,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Referral to law enforcement,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: Referral to law enforcement,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: School-related arrest,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWD: School-related arrest,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWOD: Corporal punishment,M,0,0,0,0,0,0,0,,,0,0
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWOD: Corporal punishment,F,0,0,0,0,0,0,0,,,0,0
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWOD: Students receiving one or more in-school suspensions,M,0.00,0.00,0.00,2.00,2.00,0.00,0.00,,,4.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWOD: Students receiving one or more in-school suspensions,F,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWOD: Students receiving only one out-of-school suspension,M,0.00,0.00,0.00,0.00,2.00,2.00,0.00,,,4.00,0.00
WI,Racine Unified School District,WI,Jefferson Lighthouse Elementary,551236001623,2015,SWOD: Students receiving only one out-of-school suspension,F,0.00,0.00,0.00,0.00,2.00,0.00,0.00,,,2.00,0.00
